SubjectID,dwi_feature_1,dwi_feature_2,dwi_feature_3,dwi_feature_4,dwi_feature_5,dwi_feature_6,dwi_feature_7,dwi_feature_8,dwi_feature_9,dwi_feature_10,dwi_feature_11,dwi_feature_12,dwi_feature_13,dwi_feature_14,dwi_feature_15,dwi_feature_16,dwi_feature_17,dwi_feature_18,dwi_feature_19,dwi_feature_20,dwi_feature_21,dwi_feature_22,dwi_feature_23,dwi_feature_24,dwi_feature_25,dwi_feature_26,dwi_feature_27,dwi_feature_28,dwi_feature_29,dwi_feature_30,dwi_feature_31,dwi_feature_32,dwi_feature_33,dwi_feature_34,dwi_feature_35,dwi_feature_36,dwi_feature_37,dwi_feature_38,dwi_feature_39,dwi_feature_40,dwi_feature_41,dwi_feature_42,dwi_feature_43,dwi_feature_44,dwi_feature_45,dwi_feature_46,dwi_feature_47,dwi_feature_48,dwi_feature_49,dwi_feature_50,dwi_feature_51,dwi_feature_52,dwi_feature_53,dwi_feature_54,dwi_feature_55,dwi_feature_56,dwi_feature_57,dwi_feature_58,dwi_feature_59,dwi_feature_60,dwi_feature_61,dwi_feature_62,dwi_feature_63,dwi_feature_64,dwi_feature_65,dwi_feature_66,dwi_feature_67,dwi_feature_68,dwi_feature_69,dwi_feature_70,dwi_feature_71,dwi_feature_72,dwi_feature_73,dwi_feature_74,dwi_feature_75,dwi_feature_76,dwi_feature_77,dwi_feature_78,dwi_feature_79,dwi_feature_80,dwi_feature_81,dwi_feature_82,dwi_feature_83,dwi_feature_84,dwi_feature_85,dwi_feature_86,dwi_feature_87,dwi_feature_88,dwi_feature_89,dwi_feature_90,dwi_feature_91,dwi_feature_92,dwi_feature_93,dwi_feature_94,dwi_feature_95,dwi_feature_96,dwi_feature_97,dwi_feature_98,dwi_feature_99,dwi_feature_100,dwi_feature_101,dwi_feature_102,dwi_feature_103,dwi_feature_104,dwi_feature_105,dwi_feature_106,dwi_feature_107,dwi_feature_108,dwi_feature_109,dwi_feature_110,dwi_feature_111,dwi_feature_112,dwi_feature_113,dwi_feature_114,dwi_feature_115,dwi_feature_116,dwi_feature_117,dwi_feature_118,dwi_feature_119,dwi_feature_120,dwi_feature_121,dwi_feature_122,dwi_feature_123,dwi_feature_124,dwi_feature_125,dwi_feature_126,dwi_feature_127,dwi_feature_128,label
100206,0.0,0.0,1.5574628,0.0,1.2297524,0.13026787,0.0,1.5763562,0.23729146,1.1490917,0.0,2.0060186,0.0,0.50223154,1.7034675,1.3885168,0.0,1.6666132,1.94417,0.3880471,0.0,0.27973145,1.1110076,0.0,0.0,0.0,0.046769258,1.7484306,1.3136886,0.13337126,0.0,0.0,0.0,0.7028065,0.0,0.0,0.42917925,0.0,0.0,1.7719438,0.0,0.0,1.769252,0.0,0.0,0.9008445,1.8144615,0.36295065,1.0678316,0.0,1.4495499,0.0,1.041967,0.0,0.0,0.0,0.2835855,0.11493204,0.77069503,0.2088994,0.0,0.0,0.0,0.0,1.7061597,0.04922401,0.0,0.0,0.78551334,2.4216747,0.0,0.0,0.5380293,0.08993263,0.0,0.24666405,0.0,0.0,2.5625029,0.0,0.6740271,0.5123551,2.0623062,0.0,1.2871748,0.0,0.33859193,0.0,0.0,0.9878324,0.0,0.39834958,1.2547127,0.0,0.0,0.0,0.026573977,0.0,0.8727881,0.0,1.2879142,1.6560789,0.0,0.0,0.0,0.0,0.0,0.44290742,0.1031179,0.0,0.0,1.0855299,0.87641466,2.0306542,0.0,0.9879417,1.1756275,0.0,0.0,0.018096667,0.0,1.4564348,0.0,0.0,0.83593845,0.0,0.0,0.0,1
100408,0.0,0.0,0.49592406,0.0,0.33257234,0.0,0.8439963,1.0300391,0.13897792,2.09165,0.0,0.0,0.0,0.0,0.0,0.74402124,0.30137625,0.7973184,0.0,0.13329144,0.56783533,0.50781375,2.7704492,0.0,0.0,0.0,0.0,1.0010818,0.0,0.0,0.81232095,0.0,0.0,0.233183,0.10242413,0.36575216,1.3947419,0.0,0.0,2.041352,0.0,0.54673976,0.0,0.0,1.2780763,0.9728052,0.0,1.629783,0.0,0.0,2.042609,0.0,0.0,0.53715795,0.9975329,0.69798875,1.6426222,0.48043695,0.36896315,0.0,0.73629624,0.0,0.0,0.0,1.4484957,0.0,0.0,0.668928,0.24963237,1.2330738,0.0,0.0,0.0,0.0,0.0,0.0,1.3431597,1.0608796,1.0697323,0.0,0.30234966,0.0,0.0,0.0,0.0,0.0,1.1666818,0.0,0.0,0.42690924,0.0,0.100779004,0.0,0.0,1.6575537,0.0,0.62947273,0.8665075,0.0,0.0,0.0,0.7900343,0.0,0.0,0.0,0.1928593,0.6805074,0.0,0.0,0.0,0.0,0.76977813,1.2956291,0.0,0.0,0.0,1.0210364,0.094154194,0.0,0.0,0.0,0.0,0.47561395,0.0,0.0,0.0,0.0,0.0,1
100610,0.0,0.0,0.0,0.5249104,0.0,0.08102263,0.0,1.5049149,0.0,0.82879305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3504117,0.0,0.0,0.0,0.0,0.0,0.68694496,0.0,0.0,0.0,2.0086436,0.0,0.0,0.8030036,0.0,0.0,1.9090126,0.18707137,0.0,1.1165959,0.0,0.0,1.2988052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15693648,0.0,0.0,0.0,0.0,0.0,0.17155842,0.0,0.0,0.0,0.9458591,0.0,0.071432985,1.0730009,0.0,0.0,0.0,0.68145424,0.87674725,0.0,0.0,0.0,0.36928976,0.0,0.20455913,0.0,0.87084603,0.0,1.3061314,1.3375498,0.0,0.3628242,0.0,0.0,0.0,0.91892,0.0,1.1990535,0.0,0.018501045,0.0,0.0,0.50654554,0.0,0.04032418,1.9538854,0.20315458,0.0,0.0,0.7781914,0.84853435,1.5258243,0.776072,0.0,0.0,0.0,1.4045014,0.07881205,0.5655472,0.0,0.9020177,1.0640533,0.0,1.6431569,0.0,2.4955,1.6757308,0.37337524,0.6182616,0.0,0.0,0.0,0.0,0.0,0.8470509,0.0,0.0,0.0,0.23046413,0.0,0.0,1
101107,0.8524886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52524275,0.0,0.74650055,0.87807584,0.0,1.673538,0.0,0.0,0.0,1.0790963,0.8083562,0.2030776,0.0,0.0,0.41967738,0.005789369,0.0,0.0,0.3134782,0.86367893,0.22194856,0.0,0.0,0.0,1.513624,2.2759595,0.0,0.8439136,0.12865922,0.0,0.1143723,0.0,0.013011439,0.94656265,0.0,0.0,0.92068416,0.0,0.0,0.54240435,0.89117944,0.0,0.4753058,0.0,0.0,1.3803449,0.0,1.3230876,0.0,0.0,2.6091883,0.0,2.2309244,0.6700627,0.0,0.0,0.0,0.86230165,0.0,0.0,0.0,0.0,0.0,0.85911924,0.31254297,0.0,0.0,1.555516,2.2570527,0.0,0.0,3.0674176,0.55936515,1.424307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9790146,0.35340115,1.3449664,0.09888571,0.0,0.18221599,0.0,0.0,0.0,0.0,0.554567,0.0,0.0,0.0,0.2751391,0.30833033,0.0,1.8678079,0.0,0.0,0.037912574,0.9537296,2.8803298,0.14125095,1.0375818,0.70667595,2.9317415,0.0,0.8222407,0.0,0.14011258,0.72054887,0.5176602,1.3601676,0.0,0.0,0.12370387,0.04503704,0.0,1
101309,1.0985862,0.0,0.0,1.0175424,0.0,0.0,0.0,0.0,1.6125726,0.0,0.494587,0.0,0.0,0.0,0.0,2.3617382,0.0,0.0,0.0,0.0,0.0,0.0,0.6765723,0.44629022,0.0,0.0,0.0,2.2138762,0.0,0.0,0.31363973,1.1090455,0.0,1.4270477,4.4662447,2.3970063,0.6419601,0.0,2.4919004,0.6534363,2.358336,0.0,0.0,0.0,4.7260404,0.0,1.4419128,1.2895439,0.0,0.0,0.0,0.0,0.0,1.1048298,0.0,0.3026286,0.9423082,0.7717393,2.2215188,0.0,0.83443576,2.0091593,0.0,0.0,0.11724856,0.0038917167,0.0,0.0,0.0,0.54737544,0.0,2.3743753,0.0,0.0,3.14862,0.0,1.9859376,0.0,0.0,0.0,0.0,2.4853804,0.0,0.0,1.6937569,0.4773333,0.0,0.0,0.0,0.0,0.5393596,0.31243086,1.0069546,0.0,0.6930062,0.7468418,0.0,1.6346067,1.6269871,1.4756559,0.0,0.0,2.609196,2.9116287,0.0,0.16005589,0.0,2.2567725,2.009679,0.0,0.0,0.07076501,0.5122539,0.0,1.7446718,1.16565,0.0,0.0,1.3892999,0.35394135,0.0,1.1426741,0.0,0.0,0.0,0.61661434,0.0,0.0,1
101410,0.98356503,0.0,0.0,0.0,0.0,0.20216879,0.0,2.1540787,0.0,0.0,0.0156135205,0.0,0.0,0.30597025,0.24657752,1.0485053,0.0,1.4122945,0.0,0.6584246,0.0,0.0,3.8021324,0.0,1.0941257,0.0,0.7117889,1.7427895,0.0,0.19705492,1.6468942,1.1006267,0.08757014,0.88519496,0.0,0.0,0.8503989,0.0,2.3475752,1.8630425,0.08168599,0.0,0.0,0.0,1.024075,0.0,1.0488411,0.0,0.0,0.0,0.083183035,0.0,0.0,0.54898375,0.0,0.0,0.26521656,0.3974618,0.0,2.0340405,0.15389597,0.0,0.0,0.0,0.0,0.9543264,0.0,0.48816934,0.53984,0.99980134,0.34143946,0.7527435,0.0,0.0,0.0,0.0,1.1032403,1.4176387,0.0,0.0,0.0,0.0,0.0,0.0,1.4604706,0.08766156,1.2828948,0.0,0.0,0.16696383,0.0,0.0,1.4828932,0.6106164,0.0,0.016525928,0.0,0.0,0.028287897,0.22616844,0.028738352,2.1663702,1.0824332,1.4567705,1.3369141,1.1991122,1.868137,0.0,0.39986444,0.29789633,2.0003664,1.687641,1.2180505,0.16479482,0.0,0.0,0.0,0.0,0.0021687178,0.0,0.0,1.36467,0.9249881,0.0,1.5608062,0.0,0.0070201536,0.0,1
102008,1.2874701,0.0,0.7702046,0.3153554,0.0,0.0,0.0,0.0,0.0,0.972579,1.2637639,1.0448389,0.0,0.0,2.018759,1.6319923,0.0,1.7139943,0.83157563,0.0,0.0,0.0,0.0,0.28777707,0.6117871,0.0,0.94059515,1.65721,0.14411852,0.62638134,0.56065255,0.0,0.7159569,1.3257545,0.0,0.0,0.44501236,0.0,0.22913322,0.21652266,0.0,0.0,0.0,0.4970742,0.0,0.94865376,0.58519983,1.2600648,1.2973638,0.0,0.76729554,0.0,0.040670928,0.0,0.0,0.0,1.4399325,0.7288493,0.099750444,0.4170021,0.028896242,0.0,0.0,0.0,0.0,0.40934527,0.0,0.0,1.0693095,1.596393,0.07092795,0.0,0.3798743,0.0,0.81479055,1.4619205,0.75811505,0.0,1.267346,0.0,1.09814,0.0,1.3384368,0.35602078,0.0,0.0,1.1441586,0.23974162,0.0,0.019624861,0.0,1.5000418,0.11949452,0.86263937,0.5032572,0.0,0.0,1.0961632,0.0,0.0,0.41516095,0.0,0.41496563,0.0,0.0,0.111695185,1.7351456,1.53126,0.17789215,0.4449963,1.3118019,1.6705754,0.9920883,0.60640293,0.0,0.0,0.0,0.0,0.0,1.3173788,0.5546053,0.6648561,0.0,0.0,0.7358697,0.0,0.6969596,0.0,1
102513,0.0,0.0,0.0,0.0,0.060598016,0.0,0.0,1.2301508,0.122096084,1.0123315,0.0,0.93368787,0.0,0.0,1.2615621,1.4435236,0.0,1.073269,1.8053666,0.42391372,0.8121435,0.0,0.05638273,0.0,0.25420114,0.15597232,2.331351,2.5254412,0.2138961,1.0832894,0.0,0.0,1.1538532,1.0889751,0.0,0.0,0.0,0.0,2.0683794,0.5795163,0.0,0.0,0.54878604,0.0,0.6663457,0.38335004,1.0640306,0.47237846,0.17358883,0.060795154,1.4482857,0.45990834,0.755355,0.0,0.0,0.0,1.3404353,0.029923856,0.0,0.45156828,0.0,0.0,0.0,0.0,0.4194305,0.5855275,0.0,0.0,1.9038705,0.69741774,0.0,0.0,0.34722045,1.0773445,0.13926569,0.608399,0.92331475,0.0,1.7269548,0.2775844,0.38065955,0.0,1.1322845,0.0,0.11597808,0.048419293,0.16983886,0.0,0.0,1.0838852,0.28235048,1.0049268,1.7770538,0.4157566,1.9829894,0.0,1.848927,0.5194128,0.21339916,0.06927826,0.0,0.82389015,0.0,0.16109334,0.0,0.77228785,1.0454901,0.2300018,0.032935113,0.0,1.1825547,1.8470691,0.25845122,0.0,0.0,0.72524726,0.0,0.0,0.0,0.28437445,1.6004285,1.1445253,0.0,0.0,2.0790334,0.0,0.0,0.0,1
103111,0.0037152052,0.0,0.0,0.25156307,0.0,0.0,0.0,1.3066568,0.0,1.6856165,0.74856,0.46169397,0.0,0.6887429,1.5682578,2.8647325,0.0,1.4955397,1.6449687,0.0,0.50425583,0.0,0.0,1.0580177,0.0,0.0,0.0,1.1729637,0.0,0.5076675,0.0,0.0,0.9022335,2.1043043,0.0,0.024100548,2.6157513,0.0,1.3550522,1.0234113,0.0,0.0,0.3986881,0.32533446,0.0042131045,0.0,0.091627605,0.0,0.0,0.0,0.87420386,0.0,0.0,0.0,0.0,0.0,0.46723357,0.1944319,0.40917122,0.773733,0.0,0.0,0.0,0.0,2.6267319,0.72598416,0.0,0.0,1.3941448,3.043687,0.0,0.95797145,0.0,1.16814,0.8909349,0.7129057,0.31555256,0.5577614,0.8964414,0.6670325,0.40388432,0.5972636,1.3160783,0.23576482,0.8966256,0.0,0.0,0.4153235,0.0,0.0023052637,0.0,0.2490767,1.5982488,0.35479173,0.54037744,1.1090966,1.3722115,1.2389449,0.0,0.0,0.0,0.0,0.0,1.8104006,0.0,0.0,1.6203961,1.7855589,0.28645927,0.4290246,1.3186891,0.32803315,0.0,0.9982801,0.0,0.16734417,0.0,0.06749546,0.40549397,0.0,0.87196153,1.9261836,0.0,0.0,0.79245275,0.0,0.0,0.0,1
105115,0.0,0.38311067,0.0,2.4633954,0.0,0.0,0.0,2.9686642,0.0,0.3491148,0.0,0.0,0.0,0.50877744,0.0,0.0,0.0,0.0,0.69538826,2.2581058,0.0,0.0,1.7204078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4550035,1.7422264,0.0,2.0617263,0.0,0.0,2.7542152,0.6263081,0.0,0.0,0.0,0.7548879,0.74352396,0.0,0.0,0.0,0.0,0.0,0.73805207,0.51142967,0.0,0.26290566,0.0,1.5249689,0.38997564,1.380836,0.87872434,0.0,0.41037378,0.5452164,0.0,0.0,0.12432132,0.0,0.3563414,1.4763312,0.5225031,1.591623,0.0,1.0468717,0.9482384,0.0,2.0420718,0.0,2.6041372,0.0,0.0,0.0,0.52983886,0.6192177,0.0,0.0,0.0,2.214835,0.0,0.0,3.051028,0.0,0.0,2.21225,1.012494,0.0,1.4472814,0.0,0.0,3.0784516,0.0,1.971079,0.0,1.073141,2.5520964,0.7978091,1.2696031,0.0,0.62183464,1.4008237,0.33804077,0.0,0.28602472,1.5474658,1.6552147,0.0,0.79192924,1.2755089,0.0,1.9577856,0.0,2.466671,0.15335348,1.4326277,0.85079664,0.0,0.0,0.0,0.0,0.0,1
